,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
935,The Magdalene Sisters,2002,7.7,83.0,25612,4.89,114
936,Harvey,1950,7.9,,51966,,104
937,"4 Months, 3 Weeks and 2 Days",2007,7.9,97.0,55505,1.19,113
938,The Killer,1989,7.8,82.0,44993,,111
939,Battleship Potemkin,1925,8.0,,51794,0.05,66
940,L'Avventura,1960,7.9,,25685,,144
941,Barfi!,2012,8.1,,74082,2.8,151
942,Sanjuro,1962,8.1,,31448,,96
943,In a Better World,2010,7.6,65.0,38012,1.01,118
944,No Man's Land,2001,7.9,84.0,43970,1.06,98
945,Nine Queens,2000,7.9,80.0,48835,1.22,114
946,The Visitor,2007,7.6,79.0,41195,9.42,104
947,Il Postino,1994,7.7,81.0,32849,21.85,108
948,Joyeux Noel,2005,7.7,70.0,27144,1.05,116
949,Joint Security Area,2000,7.8,58.0,25594,,110
950,Hiroshima Mon Amour,1959,7.9,,27467,0.09,90
951,Paan Singh Tomar,2012,8.2,,32428,0.04,135
952,Udta Punjab,2016,7.8,,26322,,148
953,The Ladykillers,1955,7.7,91.0,25647,,91
954,In America,2002,7.7,76.0,40087,15.54,105
955,Ace in the Hole,1951,8.1,72.0,30559,3.97,111
956,Veer-Zaara,2004,7.8,67.0,47916,2.92,192
957,Kind Hearts and Coronets,1949,8.0,,33800,,106
958,Dev.D,2009,8.0,,28205,0.01,144
959,Sherlock Jr.,1924,8.2,,39674,0.98,45
960,Duck Soup,1933,7.8,93.0,54737,,69
961,Elite Squad 2: The Enemy Within,2010,8.0,71.0,78183,0.1,115
962,Fireworks,1997,7.8,,26972,0.23,103
963,Airlift,2016,8.0,,51941,,130
964,The Triplets of Belleville,2003,7.8,91.0,49957,7.0,80
965,English Vinglish,2012,7.8,,32811,1.67,134
966,The Chorus,2004,7.9,56.0,56249,3.64,97
967,A Wednesday,2008,8.1,,72636,,104
968,Bhaag Milkha Bhaag,2013,8.2,,59591,1.63,186
969,The Secret of Kells,2009,7.6,81.0,30432,0.69,75
970,The Lost Weekend,1945,7.9,,32817,9.46,101
971,Love and Death,1975,7.7,89.0,35249,,85
972,Sholay,1975,8.2,,50280,,162
973,G.O.R.A.,2004,8.0,,55147,,127
974,Vampire Hunter D: Bloodlust,2000,7.7,62.0,28607,0.15,103
975,Tae Guk Gi: The Brotherhood of War,2004,8.1,64.0,37343,1.11,140
976,The Shop Around the Corner,1940,8.1,96.0,26838,0.2,99
977,Chak De! India,2007,8.2,68.0,72389,1.11,153
978,Adam's Apples,2005,7.8,51.0,44507,0.0,94
979,Knockin' on Heaven's Door,1997,8.0,,27040,0.0,87
980,Central Station,1998,8.0,80.0,35420,5.6,110
981,The Rules of the Game,1939,8.0,,26120,,110
982,Black,2005,8.2,,32890,0.73,122
983,Zelig,1983,7.7,,39194,11.8,79
984,La Grande Illusion,1937,8.1,,33185,0.17,113
985,Jab We Met,2007,7.9,,46472,0.41,138
986,Tangerines,2013,8.2,73.0,37410,0.14,87
987,Le Dîner de Cons,1998,7.7,73.0,36633,4.07,80
988,Drishyam,2013,8.3,,29781,,160
989,The Muppet Christmas Carol,1992,7.7,64.0,46399,27.28,85
990,White Heat,1949,8.1,,28969,,114
991,Lage Raho Munna Bhai,2006,8.1,,42024,2.22,144
992,Vicky Donor,2012,7.8,,38879,0.17,126
993,The Edge of Heaven,2007,7.8,85.0,30337,0.74,122
994,A Night at the Opera,1935,7.9,,30035,2.54,96
995,C.R.A.Z.Y.,2005,7.9,81.0,31181,,127
996,Vizontele,2001,8.0,,32314,,110
997,And Now for Something Completely Different,1971,7.6,,28431,,88
998,Andaz Apna Apna,1994,8.2,,48405,,160
999,The Breath,2009,8.0,,31234,,128
