,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
338,The Machinist,2004,7.7,61.0,351139,1.08,101
339,28 Days Later...,2002,7.6,73.0,369584,45.06,113
340,Blue Velvet,1986,7.7,76.0,176537,8.55,120
341,3 Idiots,2009,8.4,67.0,332397,6.53,170
342,Serenity,2005,7.8,74.0,279938,25.51,119
343,Do the Right Thing,1989,7.9,93.0,86233,27.55,120
344,The Blind Side,2009,7.6,53.0,286124,255.96,129
345,Boyhood,2014,7.9,100.0,330862,25.38,165
346,Wreck-It Ralph,2012,7.7,72.0,371616,189.42,101
347,Amadeus,1984,8.3,88.0,361151,51.97,160
348,My Cousin Vinny,1992,7.6,68.0,104084,52.93,120
349,Dog Day Afternoon,1975,8.0,86.0,230764,50.0,125
350,American Gangster,2007,7.8,76.0,383757,130.16,157
351,Falling Down,1993,7.6,56.0,166727,40.9,113
352,The Little Mermaid,1989,7.6,88.0,231741,111.54,83
353,Misery,1990,7.8,75.0,179365,61.28,107
354,Back to the Future Part II,1989,7.8,57.0,467898,118.5,108
355,The Sandlot,1993,7.8,55.0,77270,32.42,101
356,Gone Baby Gone,2007,7.6,72.0,245720,20.3,114
357,Lion,2016,8.0,69.0,206845,51.74,118
358,Rosemary's Baby,1968,8.0,96.0,187759,,137
359,Dallas Buyers Club,2013,8.0,80.0,430266,27.3,117
360,Gran Torino,2008,8.1,72.0,707331,148.1,116
361,Who Framed Roger Rabbit,1988,7.7,83.0,178549,156.45,104
362,The Nightmare Before Christmas,1993,8.0,82.0,285333,75.08,76
363,The Bourne Identity,2002,7.9,68.0,499208,121.66,119
364,Rear Window,1954,8.4,100.0,432571,36.76,112
365,Close Encounters of the Third Kind,1977,7.6,90.0,180462,132.09,138
366,Papillon,1973,8.0,58.0,119478,53.27,151
367,Despicable Me,2010,7.6,72.0,491367,251.51,95
368,Memories of Murder,2003,8.1,82.0,128253,0.01,132
369,Downfall,2004,8.2,82.0,324772,5.51,156
370,The Fighter,2010,7.8,79.0,334229,93.62,116
371,First Blood,1982,7.7,61.0,221578,47.21,93
372,A Few Good Men,1992,7.7,62.0,229533,141.34,138
373,The Graduate,1967,8.0,83.0,249972,104.95,106
374,Match Point,2005,7.6,72.0,203034,23.09,124
375,Blazing Saddles,1974,7.7,73.0,123523,119.5,93
376,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,97.0,441242,0.28,95
377,Grave of the Fireflies,1988,8.5,94.0,225589,,89
378,As Good as It Gets,1997,7.7,67.0,270134,148.48,139
379,Slumdog Millionaire,2008,8.0,84.0,786500,141.32,120
380,Big Hero 6,2014,7.8,74.0,400995,222.53,102
381,The Hunt for Red October,1990,7.6,58.0,175079,122.01,135
382,Citizen Kane,1941,8.3,100.0,389479,1.59,119
383,Office Space,1999,7.7,68.0,237777,10.82,89
384,Dangal,2016,8.4,,147991,12.39,161
385,Blood Diamond,2006,8.0,64.0,489894,57.37,143
386,What's Eating Gilbert Grape,1993,7.8,73.0,210381,9.17,118
387,Y Tu Mamá También,2001,7.6,88.0,113715,13.62,106
388,The Theory of Everything,2014,7.7,72.0,390754,35.89,123
389,Fantastic Mr. Fox,2009,7.9,83.0,193139,21.0,87
390,Lawrence of Arabia,1962,8.3,100.0,261605,44.82,228
391,The Pursuit of Happyness,2006,8.0,64.0,437573,163.57,117
392,Star Trek Into Darkness,2013,7.7,72.0,458613,228.78,132
393,Aladdin,1992,8.0,86.0,363878,217.35,90
394,How to Train Your Dragon,2010,8.1,75.0,651683,217.58,98
395,The Fault in Our Stars,2014,7.7,69.0,337191,124.87,126
396,The Butterfly Effect,2004,7.6,30.0,444377,57.94,113
397,Kill Bill: Vol. 2,2004,8.0,83.0,668424,66.21,137
398,Moon,2009,7.9,67.0,329881,5.01,97
399,Captain Phillips,2013,7.8,82.0,412273,107.1,134
400,Apollo 13,1995,7.6,77.0,262330,173.84,140
401,The Warriors,1979,7.6,65.0,91860,22.49,92
402,Enemy at the Gates,2001,7.6,53.0,238336,51.4,131
403,Monty Python and the Holy Grail,1975,8.2,93.0,491788,1.23,91
404,District 9,2009,7.9,81.0,630370,115.65,112
405,Sleepers,1996,7.6,49.0,183847,49.1,147
406,It's a Wonderful Life,1946,8.6,89.0,388434,,130
407,Life of Pi,2012,7.9,79.0,570412,124.99,127
408,Mad Max 2: The Road Warrior,1981,7.6,77.0,163582,12.47,96
409,North by Northwest,1959,8.3,98.0,291740,13.28,136
410,Young Frankenstein,1974,8.0,80.0,140575,86.3,106
411,Raging Bull,1980,8.2,89.0,313918,23.38,129
412,Toy Story 3,2010,8.3,92.0,739923,415.0,103
413,Bridge of Spies,2015,7.6,81.0,281323,72.31,142
414,The Bourne Ultimatum,2007,8.0,85.0,597690,227.47,115
415,Coraline,2009,7.7,80.0,190930,75.29,100
416,The Others,2001,7.6,74.0,330652,96.52,104
417,Sense and Sensibility,1995,7.6,84.0,99539,43.18,136
418,"Synecdoche, New York",2008,7.6,67.0,79865,3.08,124
419,My Neighbor Totoro,1988,8.2,86.0,278552,1.11,86
420,Spartacus,1960,7.9,87.0,122033,30.0,197
421,The Secret in Their Eyes,2009,8.2,80.0,187946,6.39,129
422,Only the Brave,2017,7.6,72.0,55098,18.34,134
423,The Great Escape,1963,8.2,86.0,219756,12.1,172
424,Breakfast at Tiffany's,1961,7.6,76.0,163158,,115
425,The Bourne Supremacy,2004,7.7,73.0,427312,176.24,108
426,Traffic,2000,7.6,86.0,193236,124.12,147
427,Roma,2018,7.7,96.0,134681,,135
428,The Farewell,2019,7.6,89.0,44826,16.88,100
429,Serpico,1973,7.7,87.0,106729,29.8,130
430,Hunt for the Wilderpeople,2016,7.9,81.0,104698,5.2,101
431,Man on Fire,2004,7.7,47.0,323876,77.91,146
432,Das Boot,1981,8.3,86.0,226507,11.49,149
433,End of Watch,2012,7.6,68.0,224539,41.0,109
434,Creed,2015,7.6,82.0,241816,109.77,133
435,Barry Lyndon,1975,8.1,89.0,145383,,185
436,Dogville,2003,8.0,60.0,135025,1.53,178
437,Straight Outta Compton,2015,7.8,72.0,176220,161.2,147
438,The Magnificent Seven,1960,7.7,74.0,85998,4.91,128
439,Stalker,1979,8.2,,112074,0.23,162
440,For a Few Dollars More,1965,8.3,74.0,226157,15.0,132
441,Escape from Alcatraz,1979,7.6,76.0,117082,43.0,112
442,A Silent Voice: The Movie,2016,8.2,78.0,40927,,130
443,Enter the Dragon,1973,7.7,83.0,94515,25.0,102
444,Gattaca,1997,7.8,64.0,275795,12.34,106
445,Mr. Nobody,2009,7.8,63.0,211829,0.0,141
446,The Boondock Saints,1999,7.8,44.0,224780,0.03,108
447,Empire of the Sun,1987,7.7,62.0,113242,22.24,153
448,Brazil,1985,7.9,84.0,184512,9.93,132
449,I Saw the Devil,2010,7.8,67.0,106143,0.13,144
450,Lost Highway,1997,7.6,52.0,127716,3.8,134
451,Togo,2019,8.0,69.0,30891,,113
452,Before Sunset,2004,8.0,90.0,228958,5.82,80
453,Butch Cassidy and the Sundance Kid,1969,8.0,66.0,199222,102.31,110
